Game ID,Timestamp (ms),Player,Action
"G1770706320699-66","4001","System","Ball served towards 玩家 3"
"G1770706320699-66","4807","玩家 3","Hit Ball"
"G1770706320699-66","6490","玩家 4","Lost Life. Remaining: 0"
"G1770706320699-66","6490","玩家 4","Eliminated"
"G1770706320699-66","6490","System","Ball served towards 玩家 1"
"G1770706320699-66","7357","玩家 1","Hit Ball"
"G1770706320699-66","8656","玩家 3","Hit Ball"
"G1770706320699-66","9040","玩家 2","Lost Life. Remaining: 0"
"G1770706320699-66","9040","玩家 2","Eliminated"
"G1770706320699-66","9040","System","Ball served towards 玩家 1"
"G1770706320699-66","9923","玩家 1","Hit Ball"
"G1770706320699-66","10907","玩家 3","Lost Life. Remaining: 0"
"G1770706320699-66","10907","玩家 3","Eliminated"
